,word,norm_place
7665,legitimately,"[0.2, 0.3, 0.4, 0.42857142857142855, 0.5, 0.5, 0.7]"
7666,lem,"[0.07692307692307693, 0.07692307692307693, 0.08333333333333333, 0.08333333333333333, 0.11764705882352941, 0.125, 0.13333333333333333, 0.14285714285714285, 0.15, 0.15384615384615385, 0.16666666666666666, 0.16666666666666666, 0.2, 0.2, 0.23076923076923078, 0.25, 0.25, 0.25, 0.3, 0.3, 0.3, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.4, 0.4, 0.42857142857142855, 0.43478260869565216, 0.5, 0.5, 0.5, 0.6, 0.6, 0.6666666666666666, 0.75]"
7667,lemonade,"[0.5384615384615384, 0.75, 0.8235294117647058, 1.0, 1.0]"
7668,lend,[0.7272727272727273]
7669,length,[1.0]
7670,lenient,"[0.47619047619047616, 0.5555555555555556, 0.6666666666666666]"
7671,leo,[0.6666666666666666]
7672,leprechaun,[0.5555555555555556]
7673,leslie,"[0.6, 0.6111111111111112, 0.7142857142857143]"
7674,less,"[0.13793103448275862, 0.3157894736842105, 0.38461538461538464, 0.42857142857142855, 0.46153846153846156, 0.5, 0.5, 0.5238095238095238, 0.5384615384615384, 0.625, 0.6363636363636364, 0.6666666666666666, 0.6923076923076923, 0.7142857142857143, 0.8095238095238095, 0.875, 0.8888888888888888, 1.0, 1.0, 1.0]"
7675,lessen,"[0.8888888888888888, 0.967741935483871]"
7676,lesson,[1.0]
7677,let,"[0.09523809523809523, 0.11764705882352941, 0.125, 0.15384615384615385, 0.15384615384615385, 0.17647058823529413, 0.18181818181818182, 0.18181818181818182, 0.2, 0.2, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.25, 0.25, 0.25, 0.2777777777777778, 0.2777777777777778, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.3, 0.3, 0.3, 0.3125, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.36363636363636365, 0.36363636363636365, 0.36363636363636365, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4166666666666667, 0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.4375, 0.4444444444444444, 0.4444444444444444, 0.45454545454545453, 0.47058823529411764, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5106382978723404, 0.5294117647058824, 0.5333333333333333, 0.5333333333333333, 0.5384615384615384, 0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.5666666666666667, 0.5714285714285714, 0.5833333333333334, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6071428571428571, 0.625, 0.6363636363636364, 0.6428571428571429, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6875, 0.6875, 0.6875, 0.6923076923076923, 0.7, 0.7058823529411765, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.75, 0.75, 0.75, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7777777777777778, 0.7894736842105263, 0.8, 0.8181818181818182, 0.8181818181818182, 0.8333333333333334, 0.8333333333333334, 0.8461538461538461, 0.875, 0.875, 0.875, 0.875, 0.875, 0.875, 0.8947368421052632, 0.9, 0.9090909090909091]"
7678,lets,"[0.06666666666666667, 0.08, 0.08333333333333333, 0.08333333333333333, 0.09090909090909091, 0.1, 0.1111111111111111, 0.1111111111111111, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.15384615384615385, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.18181818181818182, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222, 0.23076923076923078, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.3, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.375, 0.375, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4117647058823529, 0.47058823529411764, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5384615384615384, 0.5555555555555556, 0.5833333333333334, 0.5833333333333334, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6428571428571429, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7, 0.7142857142857143, 0.7272727272727273, 0.75, 0.7857142857142857, 0.8181818181818182, 0.8421052631578947, 0.8571428571428571, 0.875, 0.9142857142857143, 0.9333333333333333]"
7679,lett,[0.7142857142857143]
7680,letter,"[0.4639175257731959, 0.6, 0.75, 0.9230769230769231, 1.0]"
7681,letters,"[0.8461538461538461, 0.8571428571428571, 0.9, 1.0]"
7682,letting,"[0.17391304347826086, 0.2727272727272727, 0.5, 0.5555555555555556, 0.6923076923076923, 0.7272727272727273, 0.8095238095238095]"
7683,let’s,[0.2]
7684,levee,[0.7142857142857143]
7685,level,"[0.2222222222222222, 0.4166666666666667, 0.4666666666666667, 0.48148148148148145, 0.5, 0.5384615384615384, 0.5555555555555556, 0.5625, 0.6170212765957447, 0.6923076923076923, 0.8, 0.8181818181818182, 0.8571428571428571, 0.9, 0.9166666666666666, 0.9310344827586207, 0.9318181818181818, 1.0]"
7686,levels,[0.9393939393939394]
7687,lewis,"[0.25, 0.2857142857142857, 0.5263157894736842, 1.0, 1.0]"
7688,lewis’s,[0.5]
7689,lg,"[0.7777777777777778, 0.8571428571428571, 0.8888888888888888]"
7690,liabilities,[1.0]
7691,liam,"[0.1, 0.125, 0.14285714285714285, 0.15384615384615385, 0.16666666666666666, 0.2, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.375, 0.4444444444444444, 0.5, 0.5, 0.5, 0.5714285714285714, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.7368421052631579, 0.782608695652174]"
7692,liam’s,"[0.5, 0.5714285714285714, 0.6666666666666666]"
7693,liar,[1.0]
7694,liars,[1.0]
7695,liashek’s,[0.5833333333333334]
7696,lib,[1.0]
7697,libbing,[1.0]
7698,liberal,"[0.3333333333333333, 0.38095238095238093, 0.6666666666666666, 1.0]"
7699,liberals,[0.7142857142857143]
7700,library,"[0.175, 0.26666666666666666, 0.3076923076923077, 0.4, 0.5384615384615384, 0.6666666666666666, 0.6923076923076923, 0.7307692307692307, 0.8181818181818182, 0.8666666666666667, 1.0, 1.0, 1.0]"
7701,license,"[0.75, 0.8888888888888888]"
7702,lick,"[0.3333333333333333, 0.8888888888888888]"
7703,licking,"[0.6, 0.75, 1.0, 1.0]"
7704,lie,"[0.6666666666666666, 1.0]"
7705,liens,[0.7222222222222222]
7706,life,"[0.21739130434782608, 0.3333333333333333, 0.375, 0.42857142857142855, 0.5, 0.6, 0.7, 0.7857142857142857, 0.7857142857142857, 0.8, 0.8333333333333334, 0.8333333333333334, 0.8571428571428571, 0.8888888888888888, 0.8888888888888888, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7707,lifeguard,[0.625]
7708,lifeguards,[0.2571428571428571]
7709,lifespan,"[0.6, 0.8333333333333334, 1.0]"
7710,lifetime,"[0.5, 0.6]"
7711,ligher,[1.0]
7712,light,"[0.25, 0.3333333333333333, 0.5, 0.5, 0.5384615384615384, 0.6428571428571429, 0.6923076923076923, 0.75, 0.75, 0.8, 0.8, 1.0, 1.0, 1.0]"
7713,lighter,"[0.35714285714285715, 0.4, 0.6666666666666666, 0.7142857142857143, 0.75, 0.8333333333333334, 1.0, 1.0, 1.0, 1.0, 1.0]"
7714,lightly,"[1.0, 1.0]"
7715,lightning,[0.8]
7716,lights,"[0.3, 0.6, 0.75, 0.8, 0.9333333333333333, 0.9375, 1.0]"
7717,ligtt,[1.0]
